judul,lokasi,harga,luas_tanah_m2,luas_bangunan_m2,kamar_tidur,kamar_mandi,garasi,poster,posting_date
Rumah Kost Exclusive 3 Lantai 31 Tempat Tidur Area Pondok Pinang,"Pondok Pinang, Jakarta Selatan","14,8 Miliar",400,900,31,31,5,Artha Sianturi,31 Agustus 2022
"Termurah Brand New Desain Japanese Modern Tropis Lokasi Strategis Selangkah Ke Gandaria City Mall, Gandaria Jakarta Selatan","Gandaria, Jakarta Selatan","5,5 Miliar",171,337,4,3,2,Imelda Mantho,31 Agustus 2022
"Rumah Karang Asem, Setiabudi, Luas 865m2","Setiabudi, Jakarta Selatan",51 Miliar,865,365,6,,,Gree RWKG,31 Agustus 2022
"Rumah Jl Jamblang, Ps. Minggu Jati Pasang Luas 506m2","Pasar Minggu, Jakarta Selatan",16 Miliar,506,400,6,5,,April RWKG,31 Agustus 2022
Rumah Luas Harga Murah Di Cilandak Jaksel,"Cilandak, Jakarta Selatan","13,5 Miliar",1150,500,4,4,,Yoana Rwc,25 Agustus 2022
Rumah Luas Harga Murah Di Radio Dalam Jakarta Selatan,"Radio Dalam, Jakarta Selatan",16 Miliar,400,212,6,2,,Ria Delsy,25 Agustus 2022
Rumah bagus strategis komplek lebak bulus MRT jakarts selatan,"Lebak Bulus, Jakarta Selatan",11 Miliar,624,450,5,4,2,Agus Sutisna Wijaya,25 Agustus 2022
"Rumah termurah strategis asri di area cipete,jakarta selatan di Cipete","Cipete, Jakarta Selatan",24 Miliar,1287,500,4,3,4,Agus Sutisna Wijaya,25 Agustus 2022
Harga Njop Rumah Pondok Indah Jarang Ada,"Pondok Indah, Jakarta Selatan","4,1 Miliar",148,150,3,2,1,Diana Syauta,25 Agustus 2022
"Tebet Timur, Akses 2 Mobil, Rumah Mewah","Tebet, Jakarta Selatan","5,95 Miliar",165,260,4,3,3,Rahman The Homes Tebet,25 Agustus 2022
Rumah Baru Bisa Untuk Kantor Dekat Jalan Raya Dr.Soepomo Tebet .,"Menteng Dalam, Jakarta Selatan","8,5 Miliar",203,320,4,4,2,Kurdi Sopandi,25 Agustus 2022
BANGKA KEMANG BEST DEAL,"Bangka, Jakarta Selatan","15,7 Miliar",1093,700,5,5,6,Muhamad Ikbal,25 Agustus 2022
FORSENOPATI KEBAYORAN BARU,"Senopati, Jakarta Selatan",40 Miliar,522,900,5,3,2,Muhamad Ikbal,25 Agustus 2022
FORCILANDAK CLASSIC RENOVATED HOUSE,"Cilandak, Jakarta Selatan",11 Miliar,508,400,5,4,3,Muhamad Ikbal,25 Agustus 2022
KEMANG PEJATEN BARAT SHM - Sertifikat Hak Milik,"Kemang, Jakarta Selatan",25 Miliar,930,600,5,5,10,Muhamad Ikbal,25 Agustus 2022
KEBAYORAN BARU BLOK S,"Kebayoran Baru, Jakarta Selatan","14,5 Miliar",241,451,5,3,3,Muhamad Ikbal,25 Agustus 2022
Rumah 2 Lantai Dekat Pintu Toll Di Jagakarsa,"Jagakarsa, Jakarta Selatan","1,97 Miliar",88,150,4,4,2,Hally Wildan murah properti,25 Agustus 2022
Rumah Cluster di Jagakarsa Jakarta Selatan,"Jagakarsa, Jakarta Selatan","4,95 Miliar",223,350,3,4,2,Budi Adhi,25 Agustus 2022
Rumah Siap Huni Di Jagakarsa Jakarta Selatan,"Jagakarsa, Jakarta Selatan","1,2 Miliar",108,80,2,1,1,Yulchairi  Yulchairi,25 Agustus 2022
HUNIAN NYAMAN SIAP HUNI DEKET TOL TANAH KUSIR,"Kebayoran Baru, Jakarta Selatan",12 Miliar,600,500,5,4,1,Ngatman,25 Agustus 2022
Rumah Asri Nyaman Dalam Komplek Di Cipete Dekat MRT Cipete Raya,"Cipete, Jakarta Selatan","8,5 Miliar",378,350,4,3,1,Dewi Palupi,25 Agustus 2022
Turun Harga Rumah Nyaman Siap Huni di Pesanggrahan Jakarta Selatan,"Pesanggrahan, Jakarta Selatan","3,65 Miliar",234,185,3,4,2,Imelda Mantho,25 Agustus 2022
Rumah cilandak barat intan rspp sebramg citos lt 830m cck rmh/ktr H.17.5Mly good invest,"Cilandak, Jakarta Selatan","17,5 Miliar",830,700,5,5,4,Lisa Hafrizal,25 Agustus 2022
Rumah Minimalis Jl Mampang Prapatan XIVJakarta Selatan 2lnt  luas 256 Murah 4.2M cash only,"Mampang Prapatan, Jakarta Selatan","4,2 Miliar",256,350,6,6,2,Lisa Hafrizal,25 Agustus 2022
Rumah siap huni di lokasi yang nyaman,"Pondok Indah, Jakarta Selatan","12,5 Miliar",225,200,4,3,1,Ira Bustan,25 Agustus 2022
"TANJUNG MAS RAYA, HARGA TURUN, RUMAH BAGUS, EXCLUSIVE","Tanjung Barat, Jakarta Selatan","9,1 Miliar",360,400,5,4,2,Herman ATMProperti,25 Agustus 2022
MODERN MINIMALIST TOWN HOUSE Harga MURAH  DI CIPETE Close To MRT Haji Nawi,"Cipete, Jakarta Selatan",8 Miliar,211,354,3,3,2,Ellen Tahalele,24 Agustus 2022
Kebayoran Baru Dekat Ptik Area Strategis Dan Premium Hitung Tanah Jual Cepat,"Kebayoran Baru, Jakarta Selatan",10 Miliar,250,228,10,10,3,Nizar Luthfi,24 Agustus 2022
URGEN DIJUAL MURAH HARGA NJOP Rumah Swimming Pool Mewah Siap Huni Dalam Townhouse Di Fatmawati Cilandak Jakarta Selatan,"Cilandak, Jakarta Selatan","8,5 Miliar",348,325,4,4,5,Warsikin Asyraf  Raja Closing,24 Agustus 2022
MURAH RUMAH SIAP HUNI Di Menteng Dalam Tebet Jakarta Selatan Dekat Jl Dr Soepomo Akses Lebar 2 Mobil  BU,"Tebet, Jakarta Selatan","2,5 Miliar",84,120,3,2,2,Warsikin Asyraf  Raja Closing,24 Agustus 2022
Rumah Murah di Jagakarsa Jakarta Selatan,"Jagakarsa, Jakarta Selatan","2,85 Miliar",135,190,4,3,2,FAISAL RAHMAN,24 Agustus 2022
Rumah 2 Lantai SHM Bagus Semi Furnished di Pejaten barat,"Pasar Minggu, Jakarta Selatan","10,5 Miliar",338,400,4,6,1,Ade Achmad,24 Agustus 2022
Rumah mewah bangunan baru dengan design modern. Pondok Indah,"Pondok Indah, Jakarta Selatan",45 Miliar,483,1300,5,5,4,Imam Sugianto,24 Agustus 2022
"Perumahan Rancho Indah , Nego, Lokasi Strategis di Jakarta Selatan","Tanjung Barat, Jakarta Selatan","4,5 Miliar",243,180,3,3,1,Jessica Hutarso,24 Agustus 2022
Rumah mewah baru ada Lift seperti hotel ga bikin cape..keren banget dech..aman nyaman asri  dan harga bisa nego sampai deal bisa di bantu KPR,"Lebak Bulus, Jakarta Selatan",18 Miliar,400,700,5,4,3,Elvin Elviana,24 Agustus 2022
Rumah lama terawat tapi area nya elite kawasan pejabat dan diplomat Harga tanah stabil ini di  murah banget bawah pasaran jarang ada bisa KPR kok,"patra kuningan, Jakarta Selatan",55 Miliar,1045,475,5,3,6,Elvin Elviana,24 Agustus 2022
Rumah baru mewah siap huni Lokasi nyaman aman asri Harga murah,"Kebayoran Baru, Jakarta Selatan",35 Miliar,372,800,5,5,2,Elvin Elviana,24 Agustus 2022
Rumah mewah Lokasi asri nyaman tenang Harga nego keras,"Pondok Indah, Jakarta Selatan",48 Miliar,1229,852,6,6,6,Elvin Elviana,24 Agustus 2022
"Rumah bagus area nyaman tenang aman asri enak banget utk tinggal bakalan betah dan sehat, harga sangat murah jarang ada. Baiknya segera di survey","Pondok Indah, Jakarta Selatan",16 Miliar,500,488,6,4,2,Elvin Elviana,24 Agustus 2022
Rumah modern klasik mewah siap huni keren abizzz..lokasi nyaman aman asri tenang Harga nego sampai deal murah saja,"Cilandak, Jakarta Selatan",19 Miliar,982,600,5,5,6,Elvin Elviana,24 Agustus 2022
Rumah mewah siap huni fasilitas lengkap area sejuk aman Harga murah banget,"Lebak Bulus, Jakarta Selatan","8,5 Miliar",508,250,4,4,2,Elvin Elviana,24 Agustus 2022
Rumah Purimansion Termurah Siaphuni Ukuran 8x15,"Puri Mansion, Jakarta Barat","3,35 Miliar",120,150,4,3,,Tinus Tinus,01 September 2022
Rumah Puri Mansion Cluster Atlanta 8x15 - Selatan - SHM,"Puri Mansion, Jakarta Barat","3,35 Miliar",120,160,3,3,2,Richard Khio,01 September 2022
Rumah Citra Garden 2 Extension. Brand New.3 Lantai.minimalis.nego,"Citra Garden, Jakarta Barat","4,5 Miliar",128,275,4,3,,Tommy Lim,01 September 2022
"Rumah DIJUAL di PURI KENCANA
Jakarta Barat Butuh Renovasi","Kembangan Selatan, Jakarta Barat","13,8 Miliar",360,550,4,4,2,>> HANDY <<,31 Agustus 2022
Rumah mewah design tropis ada kolam renang di Alfa Indah Jakarta Barat,"Alfa Indah, Jakarta Barat","9,2 Miliar",425,600,4,6,3,Johan Paiman,31 Agustus 2022
Dijual Rumah Daerah Permata Buana Strategis TERMURAH!!!,"Permata Buana, Jakarta Barat","7,19 Miliar",180,250,5,3,1,Leo Liong - MR GI,31 Agustus 2022
Chandra Rumah Taman Ratu Uk 4x13.5m Jalan 2 Mobil,"Taman Ratu, Jakarta Barat","1,9 Miliar",54,114,4,5,,CHANDRA PROPERTY JELAMBAR,31 Agustus 2022
Rumah di Daan Mogot Baru,"Daan Mogot, Jakarta Barat","3,7 Miliar",180,150,4,3,,Ping Ping,31 Agustus 2022
Rumah Lama di Jl. Kamboja Tomang Bonus Bangunan,"Tomang, Jakarta Barat","10,5 Miliar",433,500,3,3,2,Effendy Ma,25 Agustus 2022
"Axel Jamin Termurah Se Planet Buruan Dp Green Lake City Amerika Latin 6x18 2,55m Masih Nego","Green Lake City, Jakarta Barat","2,55 Miliar",108,120,4,3,,Axel Satria,24 Agustus 2022
Axel Hot Mega Deal Super Mewah Cluster Mewah Tinggal Masoook Green Lake City 8x15 2 Lantai Fully Furnished,"Green Lake City, Jakarta Barat","3,3 Miliar",120,120,3,3,2,Axel Satria,17 Agustus 2022
ANA*AMAZING-DEAL!!* - RUMAH KOKOH MODERN MINIMALIS 2 LANTAI UK 8X15M DI JELAMBAR.,"Jelambar, Jakarta Barat","2,7 Miliar",120,176,2,2,2,ANA*PROPERTY JELAMBAR,11 Agustus 2022
"Dhyana Rumah Plong Uk 13x18,5m Cocok Usaha di Komplek Kavling Polri","Jelambar, Jakarta Barat","6,3 Miliar",240,527,3,3,,DHYANA PROPERTY,11 Agustus 2022
Dhyana Rumah Uk 14x18m Lokasi Bagus di Komplek Kavling Polri,"Jelambar, Jakarta Barat","5,5 Miliar",252,375,5,4,,DHYANA PROPERTY,11 Agustus 2022
Dhyana Rumah Uk 8x15m Lokasi Bagus di Jelambar,"Jelambar, Jakarta Barat","2,7 Miliar",120,180,2,2,,DHYANA PROPERTY,11 Agustus 2022
Chandra Rumah Uk 4x15m Hadap Timur di Krendang Jembatan Lima,"Jembatan Lima, Jakarta Barat","2,3 Miliar",60,180,3,,,CHANDRA PROPERTY JELAMBAR,11 Agustus 2022
BISA KPR Rumah Brand New Permata Buana 8X15,"Permata Buana, Jakarta Barat",6 Miliar,120,300,4,3,2,Richard Khio,10 Agustus 2022
Kost Mangga Besar 31 Kamar Terisi Full Penyewa Roi 10 Jalan 2 Mobil,"Mangga Besar, Jakarta Barat",9 Miliar,147,645,31,31,,Andre Tjhia ParaLand Property,04 Agustus 2022
ANDRE TJHIA Metland Puri Tanah 6x19 Dalam Cluster Rumah Baru Masi Nego,"Metland Puri, Jakarta Barat","1,7 Miliar",114,180,4,2,,Andre Tjhia ParaLand Property,04 Agustus 2022
Andre Tjhia Jelambar Rumah Siap Huni Harga Masi Nego,"Jelambar, Jakarta Barat","1,8 Miliar",61,144,3,3,2,Andre Tjhia ParaLand Property,04 Agustus 2022
Andre Tjhia Tanjung Duren Lokasi Premium Bebas Banjir Lokasi Bagus,"Tanjung Duren, Jakarta Barat","3,5 Miliar",148,130,5,2,3,Andre Tjhia ParaLand Property,04 Agustus 2022
"ANA*HOT-DEAL!! - Di KOMPLEK KAV.POLRI* - RUMAH 2 LANTAI, UK 6x20M LOKASI BAGUS DI KOMPLEK KAV.POLRI JELAMBAR.","Jelambar, Jakarta Barat","3,7 Miliar",120,180,4,2,1,ANA*PROPERTY JELAMBAR,04 Agustus 2022
ANDRE TJHIA Puri Mansion Posisi Di Samping Taman dan Bermain Anak Nego,"Puri Mansion, Jakarta Barat","3,4 Miliar",120,160,3,3,3,Andre Tjhia ParaLand Property,03 Agustus 2022
ANA*GOOD-DEAL!! - Di DUTAMAS* - RUMAH BAGUS HOEK 2 LANTAI UK 14X20M FULL FURNISHED DI KOMPLEK TAMAN DUTAMAS JELAMBAR.,"Jelambar, Jakarta Barat","5,8 Miliar",282,327,3,3,4,ANA*PROPERTY JELAMBAR,03 Agustus 2022
Dhyana Rumah Uk 4x20m Jalan 2 Mobil di Grogol,"Grogol, Jakarta Barat","2,3 Miliar",80,180,3,3,,DHYANA PROPERTY,03 Agustus 2022
Chandra Rumah Bangunan Kokoh Uk 10x27m Di Jelambar,"Jelambar, Jakarta Barat","5,6 Miliar",270,350,4,3,,CHANDRA PROPERTY JELAMBAR,03 Agustus 2022
Chandra Rumah 3.5 Lantai Plong Bisa Ijin Usaha di Taman Ratu,"Taman Ratu, Jakarta Barat","3,75 Miliar",100,225,1,1,,CHANDRA PROPERTY JELAMBAR,03 Agustus 2022
Chandra Rumah Hoek 2 Lantai Lt 282m2 Shm Murni di Komplek Dutamas,"Jelambar, Jakarta Barat","5,8 Miliar",282,300,3,3,,CHANDRA PROPERTY JELAMBAR,03 Agustus 2022
Chandra Rumah 2 Lantai Uk 6x20m Lokasi Bagus Komplek Kavling Polri,"Jelambar, Jakarta Barat","3,7 Miliar",120,180,3,2,,CHANDRA PROPERTY JELAMBAR,03 Agustus 2022
RUMAH MINIMALIS  TAMAN PERMATA BUANA,"Permata Buana, Jakarta Barat",8 Miliar,144,330,5,4,2,>> HANDY <<,31 Agustus 2022
"Rumah Taman Permata Buana , Minimalis ,  Bagus . Brand new","Permata Buana, Jakarta Barat","6,5 Miliar",144,400,4,3,,Steve Leo,31 Agustus 2022
Jual Cepat Rumah Green Lake City,"Green Lake City, Jakarta Barat","3,95 Miliar",162,170,3,3,,YUDI TJEN,31 Agustus 2022
"Rumah Green Lake , Ukuran 6x18m2 , Furnished , Rapih . Julian 081380330408","Green Lake City, Jakarta Barat","2,69 Miliar",108,150,4,3,,Julian kusmadi,31 Agustus 2022
"Termurah , Harga Dibawah Njop, Luas Tanah 198 M2 Julian 081380330408","Green Lake City, Jakarta Barat","3,29 Miliar",198,150,4,3,,Julian kusmadi,31 Agustus 2022
"ANA*HOT-DEAL!! - RUMAH BAGUS, 2 LANTAI UK 9X18M DI JELAMBAR","Jelambar, Jakarta Barat","3,5 Miliar",140,208,4,4,2,ANA*PROPERTY JELAMBAR,30 Agustus 2022
Chandra Rumah Furnish Uk 4x21m Hadap Timur di Komplek Kavling Polri,"Jelambar, Jakarta Barat","2,7 Miliar",84,200,3,3,1,CHANDRA PROPERTY JELAMBAR,30 Agustus 2022
Chandra Rumah 2 Lt Uk 13x18.5m Bebas Banjir di Komplek Kav Polri,"Jelambar, Jakarta Barat","4,9 Miliar",240,345,5,5,,CHANDRA PROPERTY JELAMBAR,30 Agustus 2022
Dhyana Rumah Uk 6.5x20m Jalan 3 Mobil di Komplek Kavling Polri,"Jelambar, Jakarta Barat","3,2 Miliar",130,200,4,3,2,DHYANA PROPERTY,30 Agustus 2022
Rumah Puri Mansion  Semi Furnished luas tanah 150 m2. Full renov,"Puri Mansion, Jakarta Barat","4,7 Miliar",150,280,4,3,1,Steve Leo,23 Agustus 2022
"Rumah 2.5 Lantai di Citra Garden 8, Kalideres, Jakarta Barat","Kalideres, Jakarta Barat","6,5 Miliar",240,270,4,3,,Donny J,16 Agustus 2022
Rumah Termurah di Taman sari Jakarta Barat,"Tamansari, Jakarta Barat",558 Juta,22,42,2,2,,Tina apriani,Posted on 16 Agustus 2022
Termurah Rumah Citra Garden 2 Extension 595m2 ada Pool,"Citra Garden, Jakarta Barat",9 Miliar,595,256,4,3,4,Richard Khio,Posted on 16 Agustus 2022
ANDRE TJHIA Duri Kepa Lebar Jalan 3 Mobil Lega Lokasi Premium Langka,"Duri Kepa, Jakarta Barat","2,8 Miliar",150,300,5,3,,Andre Tjhia ParaLand Property,Posted on 10 Agustus 2022
DIJUAL!!!  Rumah di Hawai city resort,"Cengkareng, Jakarta Barat","2,35 Miliar",90,90,2,1,1,Sherly Levina Salim,Posted on 10 Agustus 2022
ANA*SUPER-DEAL!! - Di KAV.POLRI* - RUMAH LOKASI BAGUS 2.5 LANTAI UK 5X15M DI KOMPLEK KAV.POLRI JELAMBAR,"Jelambar, Jakarta Barat","2,6 Miliar",75,120,4,3,1,ANA*PROPERTY JELAMBAR,Posted on 09 Agustus 2022
Dhyana Rumah Bangunan Kokoh Uk 10x27m Lokasi Bagus di Jelambar,"Jelambar, Jakarta Barat","5,6 Miliar",270,550,4,3,,DHYANA PROPERTY,Posted on 09 Agustus 2022
Rumah Tinggal Townhouse di De Oaze Residence Tomang Jakarta Barat,"Tomang, Jakarta Barat","5,5 Miliar",84,247,4,3,,Betty An,Posted on 03 Agustus 2022
"Rumah Mewah, Sangat Strategis Di Duri Kepa Jakarta Barat.","Duri Kepa, Jakarta Barat","8,8 Miliar",212,450,6,8,2,Lindawati Djaja,Posted on 03 Agustus 2022
Andre Tjhia Rumah 6x13 Dalam Komplek 2 Mbl Dkt Mal Puri Samping Meruya,"Puri Indah, Jakarta Barat","1,25 Miliar",78,90,4,2,2,Andre Tjhia ParaLand Property,Posted on 02 Agustus 2022
Andre Tjhia Duri Kepa Sangat Murah Dan Lokasi Premium Jarang Ada Nego,"Duri Kepa, Jakarta Barat","3,5 Miliar",314,220,5,3,4,Andre Tjhia ParaLand Property,Posted on 02 Agustus 2022
Axel Dibawah Njop Pasti Untung Green Lake City Hook Luas 197m2,"Green Lake City, Jakarta Barat","3,29 Miliar",197,135,4,3,,Axel Satria,Posted on 30 Agustus 2022
Rumah Citra 7 Nyaman Bagus Hoek,"Citra Garden, Jakarta Barat","5,7 Miliar",255,400,4,3,2,Junsiau,Posted on 30 Agustus 2022
Rumah baru 2lt termurah di Jakarta Barat,"Cengkareng, Jakarta Barat",1 Miliar,73,77,3,3,,shervi ou,Posted on 29 Agustus 2022
"Rumah 2 lantai siap huni Citra 6 Green Papyrus Jakarta Barat Seni Furnished Rumah di Citra Garden 6, Cluster Green Papyrys 2 Lantai SHM Bagus Semi Furnished","Citra Garden, Jakarta Barat","7,8 Miliar",241,279,4,3,2,Grace,Posted on 29 Agustus 2022
Rumah Murah Puri Mansion 10 x 15 MURAH BANGET,"Puri Mansion, Jakarta Barat","4,7 Miliar",150,200,3,3,1,Junsiau,Posted on 23 Agustus 2022
Rumah Siap Huni Citra Garden 3 Posisi Boulevard 8x20,"Citra Garden, Jakarta Barat","5,4 Miliar",160,400,4,3,2,Richard Khio,Posted on 23 Agustus 2022
Rumah baru di dutamas jelambar,"Jelambar, Jakarta Barat","4,25 Miliar",161,255,3,4,2,melinda agatha,Posted on 23 Agustus 2022
Axel Luxurious House Super Bagus Jarang Ada Rumah Joglo 7x25 2 Lantai Semi Furnished,"Joglo, Jakarta Barat","2,45 Miliar",173,209,4,3,,Axel Satria,Posted on 22 Agustus 2022
"WANT TO SELL Rumah di Intercon, Kebon Jeruk Brand new","Intercon, Jakarta Barat",15 Miliar,425,410,4,3,,Tinus Tinus,Posted on 16 Agustus 2022
Rumah Intercon Hoek 425m2 Ada Swimming Pool,"Intercon, Jakarta Barat","14,9 Miliar",425,500,4,3,2,Richard Khio,Posted on 16 Agustus 2022
ANA*AMAZING-DEAL!! - Di KAV.POLRI* - RUMAH BAGUS FULL FURNISHED UK 7.5X15M 2.25 LANTAI DI KOMPLEK KAV.POLRI JELAMBAR,"Jelambar, Jakarta Barat","2,95 Miliar",112,190,4,3,2,ANA*PROPERTY JELAMBAR,16 Agustus 2022
ANA*HOT-DEAL!!* - RUMAH MURAH 3 LANTAI UK 4X15M BEBAS BANJIR DI JELAMBAR,"Jelambar, Jakarta Barat","1,7 Miliar",60,130,3,3,1,ANA*PROPERTY JELAMBAR,16 Agustus 2022
ANA*GREAT-DEAL!! - Di KAV.POLRI* - RUMAH LOKASI BAGUS 2.5 LANTAI UK 5X23M DI KOMPLEK KAV.POLRI JELAMBAR,"Jelambar, Jakarta Barat",3 Miliar,115,275,3,2,1,ANA*PROPERTY JELAMBAR,16 Agustus 2022
"Chandra Rumah Bagus Full Furnish Uk 7,5x15m di Komplek Kavling Polri","Jelambar, Jakarta Barat","2,95 Miliar",112,190,3,3,,CHANDRA PROPERTY JELAMBAR,16 Agustus 2022
Chandra Rumah Murah 3 Lantai Uk 4x15m Bebas Banjir di Jelambar,"Jelambar, Jakarta Barat","1,7 Miliar",60,132,3,3,1,CHANDRA PROPERTY JELAMBAR,16 Agustus 2022
Chandra Rumah Lokasi Bagus Uk 5x23m di Komplek Kavling Polri,"Jelambar, Jakarta Barat",3 Miliar,115,275,2,2,,CHANDRA PROPERTY JELAMBAR,16 Agustus 2022
Andre Tjhia Taman Ratu 3.5 Lantai Lebar Jalan 3 Mobil,"Taman Ratu, Jakarta Barat","2,5 Miliar",52,155,3,3,,Andre Tjhia ParaLand Property,15 Agustus 2022
Andre Tjhia Taman Ratu Bangunan Baru 3.5 Lantai Lebar Jalan 3 Mobil,"Taman Ratu, Jakarta Barat","2,5 Miliar",52,155,3,3,,Andre Tjhia ParaLand Property,15 Agustus 2022
Andre Tjhia Taman Ratu 4 Lantai Cordak Lebar Jalan 4 Mbl,"Taman Ratu, Jakarta Barat","3,75 Miliar",100,230,3,3,,Andre Tjhia ParaLand Property,15 Agustus 2022
Andre Tjhia Rumah  di Meruya Hanya 5 Menit Dr Mal Puri Indah,"Meruya, Jakarta Barat","1,9 Miliar",64,140,3,4,2,Andre Tjhia ParaLand Property,15 Agustus 2022
ANDRE TJHIA Puri Indah Rumah Terawat 6x15 Sangat Murah Lokasi Bagus,"Puri Indah, Jakarta Barat",2 Miliar,90,140,3,3,2,Andre Tjhia ParaLand Property,15 Agustus 2022
ANA*HOT-DEAL!! - RUMAH MURAH 2 LANTAI 3.5X13M LOKASI BAGUS DI JELAMBAR,"Jelambar, Jakarta Barat","1,05 Miliar",45,56,2,2,1,ANA*PROPERTY JELAMBAR,09 Agustus 2022
"ANA*GREAT-DEAL!! - Di KAV.POLRI* - RUMAH BESAR, 2 LANTAI UK 13X18.5M² BEBAS BANJIR DI KOMPLEK KAV.POLRI JELAMBAR","Jelambar, Jakarta Barat","4,9 Miliar",240,351,4,5,4,ANA*PROPERTY JELAMBAR,09 Agustus 2022
ANA*GOOD-DEAL!! - Di KOMP. PRIMA INDAH* -  RUMAH UK 8x16.5M AKSES JALAN LEGA POSISI HADAP SELATAN DI KOMPLEK PRIMA INDAH JELAMBAR JAKBAR,"Jelambar, Jakarta Barat","3,25 Miliar",132,113,4,3,2,ANA*PROPERTY JELAMBAR,09 Agustus 2022
"ANA*SMART-DEAL!* - RUMAH COCOK USAHA, PLONK UK 13X18.5M 3LT DI KOMPLEK KAV.POLRI JELAMBAR","Jelambar, Jakarta Barat","6,3 Miliar",240,551,3,3,3,ANA*PROPERTY JELAMBAR,09 Agustus 2022
"Dhyana Rumah 2 Lt Uk 13x18,5m Bebas Banjir di Komplek Kavling Polri","Jelambar, Jakarta Barat","4,9 Miliar",240,351,4,5,4,DHYANA PROPERTY,09 Agustus 2022
Dhyana Rumah Uk 4x16m Hadap Timur di Jelambar,"Jelambar, Jakarta Barat","2,2 Miliar",64,180,3,3,,DHYANA PROPERTY,09 Agustus 2022
"Dhyana Rumah Uk 8x16,5m di Komplek Prima Indah Jelambar Jakbar","Jelambar, Jakarta Barat","3,25 Miliar",132,123,3,2,,DHYANA PROPERTY,09 Agustus 2022
"Dhyana Rumah Harga Terjangkau Uk 3,5x13m di Jelambar","Jelambar, Jakarta Barat","1,05 Miliar",45,56,2,2,,DHYANA PROPERTY,09 Agustus 2022
"Dhyana Rumah Plong Uk 13x18,5m Cocok Usaha di Komplek Kavling Polri","Jelambar, Jakarta Barat","6,3 Miliar",240,351,3,3,,DHYANA PROPERTY,09 Agustus 2022
"Rumah 3 Lantai Permata Buana. Luas 180 m2 , minimalis siap huni !","Permata Buana, Jakarta Barat","7,2 Miliar",180,350,4,3,1,Steve Leo,29 Agustus 2022
MURAHH !!! Uk 10x20m2 BOULEVARD !!,"Green Lake City, Jakarta Barat","4,69 Miliar",200,250,3,4,,Julian kusmadi,29 Agustus 2022
Axel Best Deal Brand New Luxurious Rumah Mewah di Metland Puri,"Metland Puri, Jakarta Barat","3,85 Miliar",150,192,4,3,,Axel Satria,28 Agustus 2022
"Rumah brandnew,luxury, barang langka","Puri Indah, Jakarta Barat","10,5 Miliar",200,550,5,4,1,Linda Clarissa,22 Agustus 2022
"ANA*NICE-DEAL!! - Di KAV.POLRI* - RUMAH 3.5 LANTAI, UK 7x15M BANGUNAN BAGUS DI KOMPLEK KAV.POLRI JELAMBAR","Jelambar, Jakarta Barat","4,2 Miliar",105,245,4,4,2,ANA*PROPERTY JELAMBAR,21 Agustus 2022
Axel Termurah Green Lake City East Asia 4x12 2 Lantai,"Green Lake City, Jakarta Barat","1,2 Miliar",48,72,2,1,,Axel Satria,21 Agustus 2022
Axel Termurah Saat Ini Cluster Bagus Posisi Bagus Glc Amerika 4x15 SHM,"Green Lake City, Jakarta Barat","1,48 Miliar",60,80,2,1,1,Axel Satria,21 Agustus 2022
"Dhyana Rumah Uk 4,25x16m Lokasi Bagus di Tomang","Tomang, Jakarta Barat","2,66 Miliar",68,140,3,3,,DHYANA PROPERTY,21 Agustus 2022
"Dhyana Rumah Uk 4,5x19m Hadap Utara di Jelambar","Jelambar, Jakarta Barat","2,75 Miliar",85,220,3,3,,DHYANA PROPERTY,21 Agustus 2022
Dhyana Rumah Uk 4.2x15m Sudah Renovasi di Komplek Kavling Polri,"Jelambar, Jakarta Barat","2,2 Miliar",61,140,3,3,,DHYANA PROPERTY,21 Agustus 2022
Dhyana Rumah Uk 7x15m Bangunan Bagus di Komplek Kavling Polri,"Jelambar, Jakarta Barat","4,2 Miliar",105,245,3,4,,DHYANA PROPERTY,21 Agustus 2022
Chandra Rumah Uk 4x16m Lokasi Bagus di Jelambar,"Jelambar, Jakarta Barat","2,2 Miliar",64,154,3,3,,CHANDRA PROPERTY JELAMBAR,21 Agustus 2022
AXEL - CLUSTER PALING MEWAH ! HARGA BAGUS ! GLC EUROPE 6x15 2 LANTAI SEMI FURNISHED 4400 WATT,"Green Lake City, Jakarta Barat","2,5 Miliar",90,120,3,3,2,Axel Satria,15 Agustus 2022
Axel Super Best Deal Termurah Jarang Ada Sudah Renov Super Bagus Green Lake City 6x15 Kt 4 2 Lantai Semi Furnish,"Green Lake City, Jakarta Barat","2,3 Miliar",90,120,4,3,2,Axel Satria,15 Agustus 2022
Axel Super Mewah Termurah Dekat Danau Super Mewah Fully Renov Fully Furnished Green Lake 10x18 2 Lantai,"Green Lake City, Jakarta Barat","5,4 Miliar",180,250,4,3,,Axel Satria,15 Agustus 2022
Axel Jamin Termurah Se Glc Green Lake City West Europe 6x15 2 Lantai,"Green Lake City, Jakarta Barat","2,3 Miliar",90,120,3,3,2,Axel Satria,15 Agustus 2022
"Axel Super Best Price Super Langka Sudah Renov Ratusan Juta Green Lake City Australia 6x15 2,5 Lantai Semi Furnish","Green Lake City, Jakarta Barat","2,3 Miliar",90,120,4,3,2,Axel Satria,15 Agustus 2022
rumah mewah di kebon jeruk,"Pos Pengumben, Jakarta Barat",800 Juta,52,71,3,3,1,Siswanto,15 Agustus 2022
